customer_id,longitude,latitude,store100_valuation,store200_valuation,store300_valuation,store400_valuation,store500_valuation,store600_valuation,store700_valuation,store800_valuation,store900_valuation,store1000_valuation,store1100_valuation,store1200_valuation,store1300_valuation,store1400_valuation,store1500_valuation,store1600_valuation,store1700_valuation,store1800_valuation,store1900_valuation,store2000_valuation,store2100_valuation,store2200_valuation,store2300_valuation,store2400_valuation,store2500_valuation,store2600_valuation,store2700_valuation,store2800_valuation,store2900_valuation,store3000_valuation
103,31.3986,30.0508,3.0,4.4,4.4,4.5,1.7,1.4,1.5,2.0,4.2,4.1,1.7,3.7,2.3,1.4,2.4,4.0,2.2,4.2,2.3,2.0,2.2,4.4,2.9,4.5,3.3,4.8,1.3,4.6,3.0,4.5
104,31.1099,29.9948,1.2,4.4,1.5,1.8,2.6,3.3,4.6,2.8,2.3,3.9,4.1,3.0,3.5,1.7,3.5,1.0,2.1,4.0,1.7,4.1,3.0,4.1,1.4,3.5,3.5,2.6,4.9,2.5,1.2,1.8
105,31.1052,29.9521,2.3,4.3,1.8,3.7,3.5,2.0,3.8,2.4,1.5,2.5,3.4,1.7,4.3,2.2,2.2,3.9,3.4,2.4,4.6,5.0,2.4,4.6,2.4,1.8,4.8,4.7,2.6,1.9,3.9,1.5
106,31.3037,30.0385,1.7,2.5,3.6,1.1,4.5,2.0,3.1,1.2,5.0,3.6,3.6,1.1,3.8,2.7,2.5,3.2,2.9,1.6,3.8,3.5,2.2,3.6,3.6,2.1,3.4,1.5,4.3,1.4,3.9,1.5
107,30.9627,29.9659,1.8,1.8,2.1,3.1,1.8,3.8,2.2,1.2,3.0,1.8,4.7,2.3,1.0,3.7,4.6,4.3,3.7,1.6,1.4,3.0,3.9,1.4,2.0,1.9,5.0,2.2,2.9,1.4,1.7,1.2
108,31.0598,30.0702,2.3,4.0,1.4,4.0,1.2,4.4,3.7,1.7,2.4,2.8,3.5,4.5,1.4,4.3,1.7,2.6,4.8,2.1,2.5,4.4,4.2,3.6,4.2,1.5,3.8,1.2,4.8,1.6,2.7,3.4
109,31.3412,30.0518,1.7,2.5,2.4,1.1,3.7,4.4,4.9,1.5,4.7,1.5,2.6,1.2,2.0,2.3,3.8,3.7,4.1,3.3,3.3,4.9,3.7,2.4,3.1,3.8,1.4,3.6,2.0,2.4,3.7,2.5
110,31.3615,30.0338,5.0,1.2,3.6,1.6,4.4,4.4,4.5,1.3,3.0,2.0,4.9,1.2,1.9,3.6,2.6,1.9,2.8,4.2,2.8,4.4,2.8,1.5,3.0,3.6,1.4,2.6,3.2,1.0,1.4,3.4
111,31.2405,29.9957,3.0,1.8,3.7,4.8,2.5,1.2,1.9,2.8,3.2,3.5,2.9,3.6,3.9,1.5,4.0,1.9,2.4,4.3,4.9,2.2,3.1,3.8,1.2,1.7,1.6,3.9,3.9,1.4,3.4,1.8
112,31.4116,30.0089,2.8,4.1,3.9,1.4,2.7,4.7,4.3,3.4,4.1,2.8,3.6,4.8,1.5,3.0,3.1,1.2,4.7,4.4,2.9,3.0,4.7,1.7,3.3,3.9,1.5,2.5,3.4,4.5,3.0,2.5
113,31.4387,30.0874,4.0,2.1,4.9,4.9,2.8,1.5,2.7,3.8,4.0,2.2,3.8,4.4,3.8,4.7,3.5,1.8,3.5,2.2,2.4,3.7,4.9,3.6,4.8,3.0,3.8,2.3,1.5,2.4,2.9,3.3
114,31.2669,30.0126,4.0,4.4,2.1,4.4,4.2,3.1,1.1,1.6,3.7,1.8,4.0,1.6,2.1,2.0,4.4,3.8,2.2,4.0,1.1,4.3,1.4,4.5,4.0,4.5,4.0,3.2,2.0,4.1,4.2,2.2
115,31.2655,30.089,2.6,4.8,4.9,2.3,3.2,1.1,2.0,3.5,4.1,4.5,4.3,4.6,3.8,3.6,4.0,3.2,3.4,4.1,4.9,2.2,1.7,3.7,1.7,1.7,3.1,2.5,2.7,3.2,1.5,3.3
116,31.0403,29.9996,3.8,1.6,1.6,2.3,1.2,4.7,3.5,3.6,3.0,3.3,2.4,4.1,2.3,1.9,1.7,1.3,3.0,2.7,3.1,1.4,1.9,1.9,2.3,2.4,1.9,4.0,3.1,5.0,4.3,4.9
117,30.9048,30.0503,2.8,4.6,3.5,3.5,4.8,3.7,2.3,4.7,4.8,2.5,3.2,2.1,4.6,4.3,2.5,4.2,2.8,1.2,4.6,1.8,3.1,4.8,1.7,4.8,3.2,1.0,1.3,3.7,4.1,4.5
118,31.1333,29.9656,3.2,3.8,4.9,4.1,3.6,4.8,4.0,1.6,2.8,2.3,1.4,1.2,4.2,3.2,3.3,1.9,2.0,2.6,3.5,2.7,1.1,3.7,3.1,3.6,3.5,4.0,3.3,3.8,1.3,4.7
119,30.9584,30.068,2.2,1.3,4.1,2.8,2.6,3.6,2.9,3.1,1.5,2.6,4.2,3.2,4.8,1.6,3.7,4.7,4.2,3.9,2.5,4.8,3.2,3.2,1.5,1.0,3.4,3.1,4.8,2.2,4.0,4.6
120,31.0891,30.0119,3.6,3.1,1.6,1.9,4.3,1.8,1.7,4.2,4.4,4.4,4.7,5.0,2.8,3.2,2.2,1.3,1.4,3.9,2.9,2.3,1.5,3.6,1.4,3.5,4.6,2.3,2.8,3.5,2.2,3.3
121,31.2111,30.0047,2.3,2.7,1.0,2.0,1.9,4.0,2.7,4.4,1.5,3.9,4.5,2.9,2.4,2.2,3.2,1.7,3.4,4.4,4.4,1.6,3.2,2.1,4.5,1.3,1.3,1.1,3.0,1.1,3.3,2.6
122,31.2245,30.0859,3.2,3.2,5.0,2.9,4.1,2.5,1.9,4.1,3.9,2.2,2.9,3.0,2.6,3.0,3.7,4.4,4.2,3.5,1.7,3.1,2.8,1.7,4.8,3.6,4.9,3.9,2.9,2.4,1.9,3.0
123,30.9346,30.0054,1.2,1.8,4.6,2.4,2.9,2.8,1.2,4.9,2.3,3.8,3.1,4.3,4.3,2.1,3.2,1.7,3.6,2.5,3.6,4.3,3.1,2.5,4.6,3.1,2.4,4.5,2.9,2.9,3.4,3.0
124,30.9764,29.9748,1.3,3.6,1.8,1.7,2.4,3.9,1.5,1.9,4.2,3.9,2.9,2.9,1.8,1.6,4.3,1.1,1.2,3.3,1.6,3.5,1.2,3.3,1.2,2.0,1.7,4.8,3.4,3.3,1.1,3.9
125,31.264,29.9925,1.3,2.8,5.0,4.5,1.7,4.3,3.4,4.2,4.3,1.7,3.6,2.1,3.9,2.4,2.8,3.4,1.9,2.5,1.4,1.8,4.4,3.0,2.7,1.6,1.4,2.9,3.5,1.2,4.1,3.0
126,30.9646,30.0223,1.5,3.4,4.3,4.6,4.1,3.6,3.1,2.5,1.2,3.1,1.9,4.2,4.2,2.5,3.4,4.0,4.0,3.8,1.4,1.5,2.9,1.9,4.4,2.1,4.5,2.6,1.8,3.8,4.2,3.3
127,30.9648,29.9511,3.6,3.8,2.3,2.4,1.6,3.6,2.0,4.4,2.7,2.5,2.1,3.7,4.0,2.7,4.1,2.9,2.5,3.2,2.0,2.2,2.4,3.8,3.9,4.4,3.6,4.0,2.8,3.8,1.6,1.9
128,31.1203,30.0008,3.2,3.8,3.8,1.6,4.9,1.0,1.4,1.6,4.7,2.7,1.3,1.9,1.3,1.2,2.5,4.9,3.5,3.1,3.8,3.4,4.8,4.3,3.6,2.8,1.8,3.6,4.2,2.1,1.1,3.4
129,31.1837,29.9848,1.7,1.1,2.0,1.0,1.6,5.0,4.1,2.4,2.6,3.3,3.1,3.9,1.3,1.4,2.1,4.3,4.7,2.4,4.9,2.1,3.4,1.8,4.7,3.3,2.0,2.6,1.4,1.3,2.2,4.8
130,31.3416,30.0935,4.5,4.3,3.3,3.8,4.9,3.3,4.1,4.0,4.8,2.8,2.8,3.3,1.1,1.5,1.3,3.5,5.0,3.7,1.9,2.3,4.8,3.1,1.0,4.3,2.0,1.4,3.7,4.3,1.3,4.7
131,31.1621,30.003,4.6,2.1,4.8,3.7,4.6,3.0,1.8,3.9,4.5,1.8,1.8,2.0,3.5,1.6,1.4,4.7,3.7,3.7,3.5,4.1,3.2,1.2,2.9,3.5,3.0,4.9,4.6,4.5,3.0,4.9
132,31.4038,29.992,1.9,3.3,1.2,4.2,2.9,3.2,3.0,2.6,3.7,1.7,4.9,3.8,2.8,3.8,1.0,1.8,3.3,2.3,3.5,2.0,3.2,1.9,2.9,3.5,2.5,3.0,1.8,3.8,2.5,4.4
133,31.0538,29.977,1.5,3.3,1.9,1.4,2.1,1.9,2.7,2.5,1.6,4.8,1.6,4.2,1.7,3.0,5.0,4.4,3.1,3.9,4.1,2.2,3.2,3.3,2.6,3.8,1.2,4.3,2.9,3.5,2.8,2.3
134,31.0985,30.0341,4.7,2.0,1.1,1.5,4.5,4.9,1.8,3.3,3.6,1.7,4.1,2.4,3.7,2.9,3.9,4.6,2.5,2.1,3.5,1.6,1.7,4.2,2.3,3.5,3.3,4.4,1.3,1.6,1.9,2.3
135,31.0602,29.9901,3.6,2.1,2.8,4.5,2.5,3.3,4.9,2.7,1.7,1.1,3.9,3.6,4.8,3.8,1.3,1.7,1.4,1.3,4.5,3.2,1.1,2.6,4.1,1.3,2.0,1.6,3.6,4.5,2.2,2.0
136,31.0563,30.044,1.5,4.4,1.1,3.7,4.4,2.3,2.9,4.9,3.2,2.1,2.8,4.9,3.8,1.7,3.4,3.5,3.5,3.3,3.1,3.6,2.2,2.4,3.2,4.2,2.8,2.5,2.0,2.2,1.0,4.3
137,31.3664,30.0016,2.9,1.0,4.7,4.8,2.9,1.0,2.7,2.2,1.9,1.0,2.5,2.6,3.2,2.6,1.7,3.9,2.6,2.5,2.1,2.7,2.0,4.1,4.6,4.2,3.7,2.1,4.0,4.2,2.7,4.4
138,31.0003,29.9934,3.5,3.5,2.1,3.5,1.8,1.1,1.2,3.1,1.7,1.4,2.1,3.9,3.9,1.9,1.6,3.0,2.4,2.2,4.2,5.0,2.9,4.2,2.3,4.4,4.8,1.2,4.1,1.3,2.9,1.8
139,31.3628,30.0726,4.3,1.5,4.1,2.0,4.1,2.8,4.0,1.1,2.8,4.1,3.1,4.9,2.9,3.7,2.2,2.3,3.5,1.2,4.7,3.1,2.0,3.6,1.8,4.6,4.5,1.9,1.5,3.5,2.3,1.7
140,31.0519,29.9679,4.2,1.0,1.2,4.1,2.9,3.4,2.5,1.4,1.6,1.4,3.5,4.7,5.0,3.5,1.2,3.6,3.8,4.2,1.5,1.9,4.9,4.2,4.0,4.2,2.8,1.8,3.8,2.4,1.5,4.6
141,31.1669,30.0156,2.2,3.8,1.8,1.7,2.4,3.9,2.1,4.3,4.7,3.2,1.3,1.6,2.2,2.1,2.5,1.0,3.6,2.5,1.7,1.1,4.4,4.1,2.0,3.9,3.6,3.2,2.5,3.1,3.0,3.2
142,31.2372,29.9984,3.6,1.4,3.1,1.3,4.3,1.5,4.5,1.8,2.9,1.4,3.3,4.3,3.6,3.1,3.8,2.0,2.5,3.4,1.3,4.7,1.8,3.0,4.6,1.3,4.2,1.2,3.2,4.8,2.7,2.5
143,31.2896,30.0735,2.1,1.2,1.3,2.2,4.8,4.8,1.4,3.9,3.1,1.8,3.1,2.0,3.5,1.7,4.0,2.7,1.4,3.6,2.4,2.8,3.7,4.5,1.7,1.7,2.6,2.4,1.6,5.0,2.8,2.4
144,31.0733,30.0987,2.3,2.5,4.1,2.7,3.9,3.4,3.3,1.9,4.1,4.7,2.0,4.8,2.8,2.6,3.9,4.9,3.4,3.1,5.0,2.2,2.2,1.9,4.4,1.1,4.3,3.8,2.1,3.2,3.2,4.7
145,30.9851,29.9557,2.4,1.6,2.5,3.3,1.9,4.2,1.4,2.6,4.7,3.9,3.9,4.2,1.7,4.3,3.8,3.3,4.6,3.4,2.2,3.9,3.3,1.3,1.2,4.1,2.4,4.3,2.7,4.5,4.5,1.9
146,31.259,30.0403,1.0,4.1,2.5,2.2,1.2,3.2,1.6,3.0,1.9,1.2,3.9,2.6,2.8,3.4,3.0,1.9,2.2,2.6,1.5,1.3,3.3,1.2,2.6,1.3,3.0,4.1,1.5,1.5,3.2,3.0
147,31.2587,29.9794,3.5,3.9,2.0,1.3,4.1,2.3,4.7,1.4,3.7,2.7,2.4,2.3,3.4,1.1,2.2,5.0,3.5,5.0,2.8,1.6,1.2,4.3,1.8,2.5,4.0,4.4,1.4,1.2,4.8,4.7
148,31.3778,30.073,1.1,3.8,1.4,2.8,1.1,1.8,3.2,1.8,3.1,2.0,2.9,3.9,1.6,3.8,1.1,3.3,3.7,1.2,1.7,2.1,4.2,3.5,1.2,3.6,1.0,2.6,2.1,4.4,3.6,4.5
149,30.9105,30.0801,3.6,1.9,2.5,4.9,1.4,2.3,4.5,3.1,1.7,3.0,2.8,4.7,1.1,2.0,3.1,2.3,2.6,1.6,2.4,2.4,3.5,1.9,4.9,3.0,4.2,3.5,4.5,4.6,4.3,1.1
150,31.2052,29.992,1.6,4.6,3.6,1.4,2.5,4.8,3.4,3.5,1.9,2.0,1.6,4.9,4.6,2.3,3.2,1.8,1.6,3.2,4.2,4.5,2.2,3.8,3.1,1.5,5.0,4.9,1.6,4.7,4.7,2.3
